Chord Progression,Emotional Quality
I - IV - V,"Bright, triumphant"
I - V - vi - IV,"Emotional, nostalgic"
ii - V - I,"Resolution, jazzy"
I - vi - IV - V,"Romantic, uplifting"
I - IV - ii - V,"Flowing, smooth"
I - V - IV,"Upbeat, assertive"
I - IV - V - IV,"Majestic, classical"
I - vi - ii - V,"Sentimental, yearning"
IV - V - I,"Conclusive, celebratory"
vi - IV - I - V,"Longing, bittersweet"
I - V - vi - iii - IV,"Reflective, wistful"
iii - vi - IV - V,"Dreamy, evolving"
IV - I - V - IV,"Regal, triumphant"
I - ii - V,"Hopeful, anticipatory"
I - iii - IV,"Warm, lyrical"
I - V - ii - IV,"Resolute, dynamic"
I - IV - I,"Grounded, comforting"
I - V - IV - I,"Positive, complete"
ii - IV - V - I,"Spirited, evolving"
vi - ii - V - I,"Melancholic, resolving"
ii - V - vi,"Restless, searching"
IV - V - vi,"Suspenseful, delicate"
I - IV - vi - V,"Inspiring, emotional"
I - iii - vi - ii,"Reflective, tender"
V - IV - I - V,"Playful, cyclical"
I - IV - V - vi,"Expansive, optimistic"
ii - V - IV - I,"Sophisticated, concluding"
IV - I - V,"Balanced, grounded"
I - V - IV - V,"Joyful, triumphant"
I - ii - IV - I,"Pensive, lyrical"
vi - V - IV,"Brooding, dramatic"
I - vi - ii - IV,"Romantic, fluid"
I - IV - V - I,"Triumphant, satisfying"
iii - IV - I - V,"Ethereal, building"
I - V - iii - IV,"Sentimental, reflective"
I - IV - vi,"Lush, tender"
I - V - IV - IV,"Assertive, bold"
vi - IV - ii - V,"Haunting, reflective"
IV - I - ii - V,"Nostalgic, heartfelt"
vi - ii - V - IV,"Poignant, searching"
I - vi - iii - V,"Lighthearted, wistful"
I - IV - ii,"Stable, forward-moving"
I - V - vi - IV,"Inspiring, dramatic"
ii - V - IV,"Floating, jazzy"
I - iii - V - IV,"Romantic, tender"
IV - V - vi - I,"Bittersweet, hopeful"
V - IV - I,"Conclusive, energetic"
I - V - iii - ii,"Serene, introspective"
I - IV - iii - vi,"Lyrical, emotional"
